realm	mode	node	ID	Name	Class	Tab	Type	NodeType	Quality	quality	RequiredLevel	AECost	TECost	QualityCost	essenceCost	talentCost	Spells	Anchor	Color	Column	ConnectedNodes	Distance	Flags	Group	Icon	Masteries	ParentNode	Points	PositionX	PositionY	RequiredAEInvestment	RequiredClassAEInvestment	RequiredClassPoints	RequiredClassTEInvestment	RequiredIDs	RequiredTEInvestment	RequiredTabAEInvestment	RequiredTabTEInvestment	Row	SizeX	SizeY	SpellCastReq	isAbility	isMastery	isTalent	seenBy
Darkmoon	Season 10 Wildcard	10001	10001	Holy Strike	Paladin	Retribution	Ability	SpendSquare	Normal		1	2	0	1			[{"id": 35512, "name": "Holy Strike"}]	TOP	TEAL	2	[]	0	64	0	custom_T_Nhance_RPG_Icons_HammerOfLight_Border	[]	0	0	0	0	0	0	0	0	[]	0	0	0	0	0	0	[]	True		False	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10054	10054	Frenzy	Ranger	Survival	Talent	SpendSquare	Normal		10	0	0	1			[{"id": 520492, "name": "Frenzy"}]	TOP	TEAL	0	[30930, 11930]	0	8192	264983	ability_druid_treeoflife_Red	[]	0	0	10	8	0	0	0	0	[]	0	0	0	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10341	10341	Potion Toss	General	General1	Ability	SpendSquare	Rare	3	10	2	0	2			[{"id": 285228, "name": "Potion Toss"}]	TOP	TEAL	0	[]	0	25165824	0	ability_monk_drunkenhaze	[]	0	2	0	0	0	0	0	0	[]	0	0	0	0	0	0	["<table>", "<table>"]	True		False	["GetSpellsByClass:General:None"]
Darkmoon	Season 10 Wildcard	10363	10363	Patience	Monk	Discipline	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 712678, "name": "Patience"}]	TOP	TEAL	0	[30614]	0	0	188442	monk_ability_avertharm	[]	0	0	4	7	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10495	10495	Animate: Bone Wraith	Necromancer	Animation	Talent	SpendSquare	Normal		10	0	0	1			[{"id": 805032, "name": "Animate: Bone Wraith"}]	TOP	TEAL	0	[7347]	0	0	805032	achievement_boss_lordmarrowgar	[]	0	0	2	4	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10543	10543	Fleeting Soul	Reaper	Soul	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 712683, "name": "Fleeting Soul"}]	TOP	TEAL	0	[30118]	0	0	712683	Spell_Magic_LesserInvisibilty	[]	0	0	2	5	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10571	10571	J27 Upgrade	Tinker	Invention	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 301322, "name": "J27 Upgrade"}]	TOP	TEAL	0	[5676]	0	0	301322	inv_vwmechanostrider_blue	[]	0	0	0	6	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10728	10728	Nozdormu's Gaze	Chronomancer	Displacement	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 807691, "name": "Nozdormu's Gaze"}]	TOP	TEAL	0	[30902]	0	0	807691	inv_misc_head_dragon_bronze	[]	0	0	0	7	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10755	10755	Ascension	Stormbringer	Lightning	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 301260, "name": "Ascension"}]	TOP	TEAL	0	[9755]	0	1056772	0	5_druideskill37_Border	[]	0	0	10	8	0	0	0	0	[]	0	0	0	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10836	10836	Dissonance	Guardian	Inspiration	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 505202, "name": "Dissonance"}]	TOP	TEAL	0	[29214, 11214]	0	8192	563213	5_music_Border	[]	0	0	10	6	0	0	0	0	[]	0	0	0	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10909	10909	Herald of the Legion	DemonHunter	Felblood	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 807461, "name": "Herald of the Legion"}]	TOP	TEAL	0	[34230]	0	0	215789	LegionShipMount	[]	0	0	2	6	0	0	0	0	[]	0	0	8	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10913	10913	Disciplined Blows	Monk	Discipline	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 680397, "name": "Disciplined Blows"}]	TOP	TEAL	0	[34397]	0	0	0	INV_Hammer_18	[]	0	0	2	5	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10918	10918	Death Commander	Necromancer	Death	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 300235, "name": "Death Commander"}]	TOP	TEAL	0	[4620, 6961]	0	0	0	epic_rpg_icon_pack_death_icon_0005s_0000_grave_Border	[]	0	0	5	7	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10922	10922	Overcorrection	Chronomancer	Displacement	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 707657, "name": "Overcorrection"}]	TOP	TEAL	0	[30903]	0	0	707657	5_priestskill27_Border	[]	0	0	2	7	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10956	10956	Devoted to the Light	SunCleric	Class	Ability	SpendCircle	Normal		10	2	0	1			[{"id": 681436, "name": "Devoted to the Light"}]	TOP	TEAL	0	[30153]	0	0	681436	Spell_Holy_LightsGrace	[]	0	0	7	4	0	0	0	0	[]	0	9	0	0	64	64	[]	True		False	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	10983	10983	Touch of the Void	Cultist	Godblade	Talent	SpendCircle	Poor		0	0	0	1			[{"id": 680508, "name": "Touch of the Void"}]	TOP	TEAL	0	[12562]	0	0	0	nhi_void_blackhole_Border	[]	0	0	5	4	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11006	11006	Sunflare Aegis	SunCleric	Seraphim	Talent	SpendCircle	Poor		0	0	0	1			[{"id": 707629, "name": "Sunflare Aegis"}]	TOP	TEAL	0	[7632]	0	0	707629	inv_shield_1h_bastionquest_b_01	[]	0	0	0	6	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11013	11013	Moon Gazing	Starcaller	Tides	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 504786, "name": "Moon Gazing"}]	TOP	TEAL	0	[33816]	0	1056772	0	5_druideskill11_Border	[]	0	0	10	6	0	0	0	0	[]	0	0	0	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11025	11025	Final Vows	SunCleric	Class	Ability	SpendCircle	Poor		0	2	0	1			[{"id": 707528, "name": "Final Vows"}]	TOP	TEAL	0	[29182]	0	0	732111	spell_holy_avenginewrath	[]	0	0	3	7	0	0	0	0	[]	0	9	0	0	64	64	[]	True		False	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11040	11040	Frontliner	Guardian	Inspiration	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 504782, "name": "Frontliner"}]	TOP	TEAL	0	[29797, 31141]	0	0	621833	Ability_Warrior_Intervene	[]	0	0	2	5	0	0	0	0	[]	0	0	8	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11051	11051	Blightbreaker	SunCleric	Blessings	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 707433, "name": "Blightbreaker"}]	TOP	TEAL	0	[7719, 29413, 34038]	0	0	0	Spell_Holy_HarmUndeadAura	[]	0	0	4	7	0	0	0	0	[]	0	0	8	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11060	11060	Honorbound	Guardian	Protection	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 803571, "name": "Honorbound"}]	TOP	TEAL	0	[30802]	0	0	803571	5_assassinskill32_Border	[]	0	0	1	3	0	0	0	0	[]	0	0	0	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11106	11106	Evil Duo	KnightOfXoroth	Hellfire	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 704961, "name": "Evil Duo"}]	TOP	TEAL	0	[4706]	0	1056772	0	spell_shadow_summonimp	[]	0	0	10	8	0	0	0	0	[]	0	0	0	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11111	11111	Fel Daze	DemonHunter	Demonology	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 705131, "name": "Fel Daze"}]	TOP	TEAL	0	[6815, 7870, 11217, 12170, 34217]	0	0	237822	Spell_Shadow_DeathCoil	[]	0	0	4	7	0	0	0	0	[]	0	0	8	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11112	11112	Unrelenting	Necromancer	Animation	Talent	SpendCircle	Poor		0	0	0	0			[{"id": 704718, "name": "Unrelenting"}]	TOP	TEAL	0	[33748]	0	0	704718	Spell_DeathKnight_Subversion	[]	0	0	3	6	0	0	0	0	[]	0	0	8	0	1	1	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11120	11120	Bombastic	Tinker	Firearms	Talent	SpendCircle	Poor		0	0	0	0	0	1	[{"id": 707271, "name": "Bombastic"}]	TOP	TEAL	0	[9621]	0	1056772	0	INV_Misc_Bomb_01	[]	0	0	10	4	0	0	0	0	[]	0	0	0	0	1	1	[]	False	False	True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11121	11121	Annihilan Rituals	DemonHunter	Demonology	Talent	SpendCircle	Normal		10	0	0	1			[{"id": 520831, "name": "Annihilan Rituals"}]	TOP	TEAL	0	[29845]	0	0	791213	Mannoroth	[]	0	0	2	2	0	0	0	0	[]	0	0	0	0	64	64	[]	False		True	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11122	11122	Maker of Realities	Chronomancer	Class	Ability	SpendCircle	Normal		10	2	0	1			[{"id": 707656, "name": "Maker of Realities"}]	TOP	TEAL	0	[9198, 30276]	0	0	707656	ability_racial_haymaker	[]	0	0	1	6	0	0	0	0	[]	0	9	0	0	64	64	[]	True		False	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11133	11133	Hexfire Adept	WitchDoctor	Voodoo	Ability	SpendCircle	Normal		10	2	0	1			[{"id": 704500, "name": "Hexfire Adept"}]	TOP	TEAL	0	[11532]	0	1056772	0	nhi_corruptionfire_Border	[]	0	0	10	8	0	0	0	0	[]	0	0	0	0	0	0	[]	True		False	["GetAllEntries"]
Darkmoon	Season 10 Wildcard	11134	11134	Neptulon's Wrath	Primalist	Life	Talent	SpendSquare	Poor		0	0	0	0			[{"id": 807467, "name": "Neptulon's Wrath"}]	TOP	TEAL	0	[9733, 11163]	0	8192	856163	_LiquidStone_Water	[]	0	0	10	8	0	0	0	0	[]	0	0	0	0	1	1	[]	False		True	["GetAllEntries"]
